character played,opponent char,ipm,win,length,openingPerKill,damagePerOpening,neutralWinRatio,openingConversionRate,ddCount,wdCount,lgCount,numGrabs
Marth,0,469,0,27402,3.8,29.2,0.8,0.6,266,108,35,18
Fox,1,453,0,6336,5,21.4,0.3,0.9,23,9,7,5
Fox,2,92,0,2194,0,,0,,0,0,0,0
Fox,2,550,1,7772,3.8,28.4,0.6,0.7,32,31,5,2
Fox,2,501,1,12650,5.5,23.2,0.4,0.5,28,34,7,12
Fox,0,585,1,9001,2.8,36,0.5,0.7,44,42,8,8
Marth,0,539,1,4559,2.5,22.3,0.5,0.4,19,17,1,7
Falco,0,142,0,8721,5,10.9,0.3,0.2,0,0,0,0
Fox,3,491,1,8620,4,24.2,0.6,0.8,36,22,2,4
Fox,1,502,1,11577,5.5,19.8,0.5,0.6,42,25,6,7
Fox,0,476,0,9802,5,18.3,0.3,0.4,20,19,4,9
Fox,0,493,0,8152,6.5,19.3,0.4,0.5,22,13,4,4
Falco,2,463,1,4568,2.5,27.1,0.5,0.6,0,12,4,5
Fox,0,454,0,7237,12,19.5,0.4,0.3,14,23,5,6
Falco,1,266,0,8238,13,15.5,0.3,0.4,1,3,2,0
Falco,0,486,0,10275,7.7,16.9,0.5,0.5,4,9,5,2
Falco,1,362,0,8527,5.7,17.5,0.6,0.4,25,13,4,3
Falco,2,493,1,9682,6.3,23,0.7,0.5,28,22,7,3
Fox,0,427,0,2119,0,14.5,0.5,0.5,1,2,0,0
Fox,1,447,0,7413,4.7,24.2,0.4,0.6,29,9,20,5
Marth,2,350,0,9123,13,20.1,0.3,0.5,27,7,6,6
Fox,2,451,0,9593,5.3,26.1,0.5,0.4,25,11,9,6
Falco,0,447,0,13348,14,14.7,0.5,0.4,25,14,19,4
Falco,1,428,0,12617,8.3,20.8,0.5,0.6,25,11,5,3
Fox,2,445,0,10206,5.3,22.1,0.4,0.5,32,18,5,6
Fox,0,445,0,16968,0,0,0.8,0.8,156,67,14,28
Fox,1,497,1,8913,4.8,26.1,0.7,0.6,29,17,8,5
Jigglypuff,0,481,1,10889,4.3,24.5,0.6,0.5,6,6,4,13
Falco,3,351,1,11726,6,19.5,0.7,0.5,67,21,3,1
Falco,3,424,0,6144,11,20.9,0.4,0.5,17,4,1,0
Falco,1,395,0,5580,5.5,19,0.5,0.6,8,5,1,3
Fox,1,425,1,10855,3.5,31.3,0.3,0.8,29,45,4,6
Marth,0,393,1,13193,5.3,27.8,0.5,0.6,22,30,7,30
Marth,2,566,0,6853,6.5,13.4,0.4,0.2,23,32,13,4
Falco,0,593,1,7343,4.3,24.4,0.6,0.6,16,20,6,4
Falco,0,483,1,9567,4,24.8,0.6,0.4,23,2,9,3
Falco,0,503,1,9249,4.5,21.5,0.5,0.6,21,22,8,4
Fox,0,241,1,2394,0.8,33.2,0.7,0.7,6,3,1,3
Falco,0,428,1,7472,3.8,31.2,0.7,0.7,2,8,9,4
Falco,1,373,0,11440,10,20.5,0.5,0.6,13,11,2,4
Falco,0,505,1,8909,5.3,18,0.7,0.6,7,4,6,3
Fox,3,529,1,5875,2.8,32.4,0.9,0.5,36,15,5,8
Fox,2,506,1,5308,3,23.3,0.5,0.7,21,12,3,1
